pid,name,birthdate,college,height,weight,current_team
280,Wesley Johnson,11-Jul-87,Syracuse University,87,290,
281,Nikola Jokic,19-Feb-95,,84,230,
282,Dahntay Jones,27-Dec-80,Duke University,82,239,
283,Damian Jones,30-Jun-95,Vanderbilt University,72,189,Golden State Warriors
284,Derrick Jones,15-Feb-97,"University of Nevada, Las Vegas",82,230,Miami Heat
285,Jalen Jones,27-May-93,Texas A&M University,77,220,Dallas Mavericks
286,James Jones,4-Oct-80,University of Miami,80,230,
287,Terrence Jones,9-Jan-92,University of Kentucky,81,230,
288,Tyus Jones,10-May-96,Duke University,79,185,Minnesota Timberwolves
289,DeAndre Jordan,21-Jul-88,Texas A&M University,75,190,Los Angeles Clippers
290,Cory Joseph,20-Aug-91,University of Texas at Austin,74,200,Indiana Pacers
291,Frank Kaminsky,4-Apr-93,University of Wisconsin,83,200,Charlotte Hornets
292,Enes Kanter,20-May-92,,80,225,New York Knicks
293,Ryan Kelly,9-Apr-91,Duke University,84,270,
294,Luke Kennard,24-Jun-96,Duke University,80,215,Detroit Pistons
295,Michael Kidd-Gilchrist,26-Sep-93,University of Kentucky,77,195,Charlotte Hornets
296,Sean Kilpatrick,6-Jan-90,University of Cincinnati,76,210,Chicago Bulls
297,Maxi Kleber,29-Jan-92,,85,245,Dallas Mavericks
298,Brandon Knight,2-Dec-91,University of Kentucky,80,235,
299,Furkan Korkmaz,24-Jul-97,,80,234,Philadelphia 76ers
300,Kyle Korver,17-Mar-81,Creighton University,78,225,Cleveland Cavaliers
301,Kosta Koufos,24-Feb-89,Ohio State University,80,235,Sacramento Kings
302,Kyle Kuzma,24-Jul-95,University of Utah,79,210,Los Angeles Lakers
303,Mindaugas Kuzminskas,19-Oct-89,,72,185,New York Knicks
304,Skal Labissiere,18-Mar-96,University of Kentucky,80,246,
305,Jeremy Lamb,30-May-92,University of Connecticut,82,220,Charlotte Hornets
306,Nicolas Laprovittola,31-Jan-90,,75,211,
307,Shane Larkin,2-Oct-92,University of Miami,75,200,Boston Celtics
308,Joffrey Lauvergne,30-Sep-91,,83,265,San Antonio Spurs
309,Zach LaVine,10-Mar-95,"University of California, Los Angeles",76,191,Chicago Bulls
310,Ty Lawson,3-Nov-87,University of North Carolina,82,238,
311,Jake Layman,7-Mar-94,University of Maryland,81,235,Portland Trail Blazers
312,T.J. Leaf,30-Apr-97,"University of California, Los Angeles",82,245,Indiana Pacers
313,Courtney Lee,3-Oct-85,Western Kentucky University,75,175,New York Knicks
314,David Lee,29-Apr-83,University of Florida,81,238,
315,Alex Len,16-Jun-93,University of Maryland,85,275,Phoenix Suns
316,Kawhi Leonard,29-Jun-91,San Diego State University,77,200,San Antonio Spurs
317,Meyers Leonard,27-Feb-92,University of Illinois at Urbana-Champaign,78,223,Portland Trail Blazers
318,Jon Leuer,14-May-89,University of Wisconsin,77,170,Detroit Pistons
319,Caris LeVert,25-Aug-94,University of Michigan,76,207,Brooklyn Nets
320,DeAndre Liggins,31-Mar-88,University of Kentucky,83,240,New Orleans Pelicans
321,Damian Lillard,15-Jul-90,Weber State University,78,230,Portland Trail Blazers
322,Jeremy Lin,23-Aug-88,Harvard University,81,230,Brooklyn Nets
323,Shaun Livingston,11-Sep-85,,73,175,Golden State Warriors
324,Shawn Long,29-Jan-93,University of Louisiana at Lafayette,72,190,
325,Kevon Looney,6-Feb-96,"University of California, Los Angeles",73,179,Golden State Warriors
326,Brook Lopez,1-Apr-88,Stanford University,83,230,Los Angeles Lakers
327,Robin Lopez,1-Apr-88,Stanford University,83,228,Chicago Bulls
328,Kevin Love,7-Sep-88,"University of California, Los Angeles",84,241,Cleveland Cavaliers
329,Kyle Lowry,25-Mar-86,Villanova University,84,245,Toronto Raptors
330,John Lucas III,21-Nov-82,Oklahoma State University,77,190,
331,Timothe Luwawu-Cabarrot,9-May-95,,84,280,
332,Tyler Lydon,9-Apr-96,Syracuse University,76,209,Denver Nuggets
333,Trey Lyles,5-Nov-95,University of Kentucky,81,257,Denver Nuggets
334,Sheldon Mac,21-Dec-92,University of Miami,78,215,
335,Shelvin Mack,22-Apr-90,Butler University,82,250,Orlando Magic
336,Josh Magette,28-Nov-89,Alabama - Huntsville,79,241,Atlanta Hawks
337,Ian Mahinmi,5-Nov-86,,83,275,
338,Thon Maker,25-Feb-97,,76,210,Milwaukee Bucks
339,Boban Marjanovic,15-Aug-88,,84,238,
340,Lauri Markkanen,22-May-97,University of Arizona,80,210,Chicago Bulls
341,Jarell Martin,24-May-94,Louisiana State University,79,205,Memphis Grizzlies
342,Frank Mason,3-Apr-94,University of Kansas,83,270,Sacramento Kings
343,Mangok Mathiang,8-Oct-92,University of Louisville,73,175,Charlotte Hornets
344,Wesley Matthews,14-Oct-86,Marquette University,85,240,Dallas Mavericks
345,Luc Mbah a Moute,9-Sep-86,"University of California, Los Angeles",74,185,
346,James Michael McAdoo,4-Jan-93,University of North Carolina,82,230,Philadelphia 76ers
347,Patrick McCaw,25-Oct-95,"University of Nevada, Las Vegas",81,230,Golden State Warriors
348,C.J. McCollum,19-Sep-91,Lehigh University,76,200,Portland Trail Blazers
349,T.J. McConnell,25-Mar-92,University of Arizona,72,175,Philadelphia 76ers
350,Chris McCullough,5-Feb-95,Syracuse University,82,237,
351,K.J. McDaniels,9-Feb-93,Clemson University,76,185,
352,Doug McDermott,3-Jan-92,Creighton University,75,190,Dallas Mavericks
353,JaVale McGee,19-Jan-88,"University of Nevada, Reno",74,200,Golden State Warriors
354,Rodney McGruder,29-Jul-91,Kansas State University,81,232,Miami Heat
355,Alfonzo McKinnie,17-Sep-92,University of Wisconsin-Green Bay,83,245,Toronto Raptors
356,Ben McLemore,11-Feb-93,University of Kansas,83,249,Memphis Grizzlies
357,Jordan McRae,28-Mar-91,University of Tennessee,84,248,
358,Josh McRoberts,28-Feb-87,Duke University,79,220,Dallas Mavericks
359,Jodie Meeks,21-Aug-87,University of Kentucky,80,198,
360,Salah Mejri,15-Jun-86,,83,230,Dallas Mavericks
361,Jordan Mickey,9-Jul-94,Louisiana State University,87,240,Miami Heat
362,Khris Middleton,12-Aug-91,Texas A&M University,83,240,Milwaukee Bucks
363,C.J. Miles,18-Apr-87,,76,215,Toronto Raptors
364,Darius Miller,21-Mar-90,University of Kentucky,79,238,New Orleans Pelicans
365,Malcolm Miller,6-Mar-93,College of the Holy Cross,73,200,Toronto Raptors
366,Mike Miller,19-Feb-80,University of Florida,85,210,
367,Patty Mills,11-Aug-88,Saint Mary's College of California,82,220,
368,Elijah Millsap,12-Aug-87,University of Alabama at Birmingham,81,250,
369,Paul Millsap,10-Feb-85,Louisiana Tech University,81,260,Denver Nuggets
370,Nikola Mirotic,11-Feb-91,,76,190,
371,Donovan Mitchell,7-Sep-96,University of Louisville,82,220,Utah Jazz
372,Malik Monk,4-Feb-98,University of Kentucky,78,200,Charlotte Hornets
373,Greg Monroe,4-Jun-90,Georgetown University,78,205,Boston Celtics
